Date,Time,Severity,Lat,Long
1/1/2014,6:53 PM,Property Damage Only,35.7722602,-78.7640997
1/2/2014,6:53 AM,C-Injury (Possible),35.78974915,-78.78115845
1/2/2014,11:24 AM,Fatal (Killed),35.094388,-80.741896
1/2/2014,6:34 PM,Property Damage Only,35.76400973,-78.74877021
1/2/2014,4:24 PM,Property Damage Only,35.78993998,-78.77382003
1/2/2014,4:21 PM,Property Damage Only,35.65828717,-78.76674258
1/2/2014,6:25 PM,Property Damage Only,35.78623988,-78.79387021
1/2/2014,12:21 PM,Property Damage Only,35.8316458,-78.76381253
1/3/2014,4:54 PM,C-Injury (Possible),35.78215018,-78.84747013
1/3/2014,6:18 PM,Property Damage Only,35.78974915,-78.78115845
1/3/2014,5:10 PM,Property Damage Only,35.73729023,-78.78490023
1/3/2014,8:58 AM,Property Damage Only,35.78084998,-78.76419023
1/3/2014,10:19 AM,Property Damage Only,35.75894974,-78.74236979
1/3/2014,9:18 PM,Property Damage Only,35.74575998,-78.74052979
1/3/2014,5:34 PM,Property Damage Only,35.76208994,-78.8217397
1/3/2014,4:28 PM,Property Damage Only,35.796328,-78.756537
1/3/2014,6:00 PM,Property Damage Only,35.74209005,-78.76884989
1/3/2014,12:28 PM,Property Damage Only,35.73948026,-78.75929989
1/3/2014,5:26 PM,Unknown,35.78306012,-78.78123969
1/4/2014,7:55 PM,C-Injury (Possible),35.79200998,-78.76376979
1/4/2014,10:02 AM,C-Injury (Possible),35.78974915,-78.78115845
1/4/2014,10:51 AM,Property Damage Only,35.74866146,-78.77200201
1/4/2014,6:33 PM,Property Damage Only,35.77043915,-78.73980713
1/4/2014,1:25 PM,Property Damage Only,35.78974915,-78.78115845
1/4/2014,11:54 AM,Property Damage Only,35.78974915,-78.78115845
1/4/2014,8:04 PM,Property Damage Only,35.77042021,-78.8590499
1/4/2014,11:27 AM,Property Damage Only,35.739102,-78.778855
1/4/2014,12:23 AM,Property Damage Only,35.78974915,-78.78115845
1/4/2014,7:14 PM,Property Damage Only,35.358074,-80.213607
1/4/2014,8:05 PM,Property Damage Only,35.78974915,-78.78115845
1/4/2014,3:34 PM,Property Damage Only,35.7676401,-78.74097973
1/4/2014,1:12 PM,Property Damage Only,35.81622027,-78.80010031
1/4/2014,5:50 PM,Property Damage Only,35.81362993,-78.84815007
1/4/2014,1:29 PM,Property Damage Only,35.79036981,-78.83023024
1/5/2014,6:18 PM,B-Injury (Evident),35.86087033,-78.89374025
1/5/2014,7:23 PM,Property Damage Only,35.79271004,-78.83832984
1/5/2014,11:20 AM,Property Damage Only,35.78974915,-78.78115845
1/5/2014,5:48 PM,Property Damage Only,35.78811005,-78.76394011
1/6/2014,7:20 PM,Property Damage Only,35.80402024,-78.80517974
1/6/2014,7:17 AM,Property Damage Only,35.78974915,-78.78115845
1/6/2014,7:44 AM,Property Damage Only,35.83069012,-78.87828
1/6/2014,11:22 AM,Property Damage Only,35.78344032,-78.79936002
1/6/2014,9:46 AM,Property Damage Only,35.78974915,-78.78115845
1/6/2014,4:29 PM,Property Damage Only,35.75582027,-78.74136999
1/6/2014,3:43 PM,Property Damage Only,35.76275982,-78.74571986
1/6/2014,8:55 AM,Property Damage Only,35.73801041,-78.79499054
1/6/2014,11:21 AM,Property Damage Only,35.74559033,-78.74074973
1/6/2014,12:00 PM,Property Damage Only,35.67181666,-78.76308225
1/6/2014,1:15 PM,Unknown,35.763839,-78.782196
1/7/2014,10:07 AM,B-Injury (Evident),35.84577017,-78.89087029
1/7/2014,2:19 PM,C-Injury (Possible),35.79200998,-78.76376979
1/7/2014,6:00 PM,Property Damage Only,35.73873057,-78.7983998
1/7/2014,3:17 PM,Property Damage Only,35.76196615,-78.74491499
1/7/2014,2:49 PM,Property Damage Only,35.75035997,-78.74113999
1/7/2014,1:23 PM,Property Damage Only,35.78974915,-78.78115845
1/7/2014,1:22 AM,Property Damage Only,35.73633,-78.78759988
1/7/2014,4:51 PM,Property Damage Only,35.78974915,-78.78115845
1/8/2014,10:49 PM,C-Injury (Possible),35.77630967,-78.76036003
1/8/2014,7:00 AM,C-Injury (Possible),35.78836016,-78.78327012
1/8/2014,1:21 AM,C-Injury (Possible),35.7921803,-78.78675967
1/8/2014,11:55 AM,C-Injury (Possible),35.78974915,-78.78115845
1/8/2014,7:55 PM,Property Damage Only,35.76196615,-78.74491499
1/8/2014,7:05 PM,Property Damage Only,35.79900987,-78.81114967
1/8/2014,12:49 PM,Property Damage Only,35.65458192,-78.76437704
1/8/2014,4:27 PM,Property Damage Only,35.147689,-77.113578
1/8/2014,8:41 AM,Property Damage Only,35.78974915,-78.78115845
1/8/2014,6:16 PM,Property Damage Only,35.78974915,-78.78115845
1/8/2014,9:01 AM,Property Damage Only,35.84341259,-78.89620274
1/9/2014,6:07 PM,Property Damage Only,35.83069012,-78.87828
1/9/2014,6:14 PM,Property Damage Only,35.84577017,-78.89087029
1/9/2014,6:36 PM,Property Damage Only,35.76638889,-78.73573855
1/9/2014,10:40 AM,Property Damage Only,35.78974915,-78.78115845
1/9/2014,7:06 AM,Property Damage Only,35.74141396,-78.80973597
