Crashid,Municipality,Road,Miles,Dir,FromRoad,ToRoad,Date,Time,Crash  Tye,Severity,
103982472,Cary,EDGEMONT AVE,0.1,E,MEADOWVALE CIR,NC 55,1/1/2014,12:47 PM,"Rear end, slow or stop",Property Damage Only,
103982471,Cary,SE MAYNARD RD,0,,WALNUT ST,VARY TOWNE BLVD,1/1/2014,6:53 PM,"Rear end, slow or stop",Property Damage Only,
103982478,Cary,JAMES JACKSON AVE,0.021,E,TRAINAGLELE TRADE DR,MAYNARD RD,1/2/2014,6:53 AM,Ran off road - left,C-Injury (Possible),
103967529,Cary,MAYNARD,0.088,NW,CHATHAM,OLD APEX,1/2/2014,11:24 AM,Other non-collision,Fatal (Killed),
103982481,Cary,WALNUT ST,0,,DONALDSON DR,BUCK JONES RD,1/2/2014,6:34 PM,Angle,Property Damage Only,
103982474,Cary,E DURHAM RD,0.04,NE,WARD ST,E CHATHAM ST,1/2/2014,4:24 PM,"Right turn, different roadways",Property Damage Only,
103982475,Cary,SERENE FOREST DR,0.022,NE,MONETA LANE,GLADE HILL DR,1/2/2014,4:21 PM,Fixed object,Property Damage Only,
103982476,Cary,OLD APEX RD,0,,FALCONE PKWY,MURPHY DR,1/2/2014,6:25 PM,"Rear end, slow or stop",Property Damage Only,
103982477,Cary,I 40,0.006,W,N HARRISON AVE,SAS CAMPUS DR,1/2/2014,12:21 PM,"Rear end, slow or stop",Property Damage Only,
103982524,Cary,WALDO ROOD BLVD,0,,CHESTONE CT,ACCOLADE DR,1/3/2014,4:54 PM,Angle,C-Injury (Possible),
103943182,Cary,SR 1009,0.1,E,SR 1319,SR 1381,1/3/2014,6:18 PM,Fixed object,Property Damage Only,
103982540,Cary,TRYON RD,0,,CRESCENT GREEN,ASHVILLE AVE,1/3/2014,5:10 PM,"Left turn, different roadways",Property Damage Only,
103982577,Cary,MAYNARD RD,0.568,S,VILLAGE GREENWAY,CARY TOWNE,1/3/2014,8:58 AM,"Rear end, slow or stop",Property Damage Only,
103989189,Cary,WALNUT ST,0,,MEETING ST,DILLARD DR,1/3/2014,10:19 AM,Angle,Property Damage Only,
103982480,Cary,WALNUT ST,0.001,N,TRYON RD,HOLLY SPRINGS RD,1/3/2014,9:18 PM,"Rear end, slow or stop",Property Damage Only,
103982528,Cary,NC 55,0,N,CARPENTER FIRE STATION,INDIAN WELL RD,1/3/2014,4:55 PM,"Rear end, slow or stop",Property Damage Only,
103982518,Cary,OLD APEX RD,0.014,NW,CARY PKWY,MARILYN CIR,1/3/2014,5:34 PM,"Rear end, slow or stop",Property Damage Only,
103982551,Cary,CHAPELL HILL RD (3081),0,W,NW MAYANRD RD (NC54),PORTRAIT DR,1/3/2014,4:28 PM,"Left turn, different roadways",Property Damage Only,
103982529,Cary,TRYON RD,0.2,NE,FORSTWOOD DR,SE CARY PKWY,1/3/2014,6:00 PM,"Rear end, slow or stop",Property Damage Only,
103982571,Cary,SE CARY PKWY,0,,LOCHSIDE DR,TRYON RD,1/3/2014,12:28 PM,"Left turn, different roadways",Property Damage Only,
103982574,Cary,ACADEMY ST,0,N,KILDAIRE FARM RD,PARK ST,1/3/2014,5:26 PM,Ran off road - right,Unknown,
103985691,Cary,SE MAYNARD RD,0,,E CHATHAM ST,N LAKE ST,1/4/2014,7:55 PM,"Left turn, same roadway",C-Injury (Possible),
103985336,Cary,SR 1415,0,,CHATHAM ST,,1/4/2014,10:02 AM,Angle,C-Injury (Possible),
